Firmware compiled Oct  8 2012, running ChibiOS
core free memory : 61368 bytes
Data format: Time, Pressure (PSI), PPG channels 1,2,...
0.00000,0.00000,122367,308264,241422,31484,508378
0.00857,0.00000,117052,293916,255539,43049,522187
0.01714,0.00000,117148,293883,255745,42936,522053
0.02571,0.00000,117261,293876,256007,42901,521903
0.03428,0.00000,117343,293834,256237,42838,521789
0.04285,0.00000,117185,310854,233778,37737,506826
0.05142,0.00000,190341,347659,345050,35595,341655
0.05999,0.00000,190274,347458,345290,35687,341708
0.06857,0.00000,190170,347478,345405,35689,341504
0.07714,0.00000,170346,360005,323096,40018,328668
0.08571,0.00000,218419,300858,263772,9136,268954
0.09428,0.00000,218709,301086,263719,9130,269008
0.10285,0.00000,218828,301290,263925,9178,269477
0.11142,0.00000,197872,291287,257501,23038,251162
0.11999,0.00000,204221,210127,202868,6273,203041
0.12857,-0.01456,204448,210179,202813,6362,202920
0.13714,-0.01456,204690,210290,202731,6277,203281
0.14571,-0.01456,191953,203400,199545,7074,188284
0.15428,-0.01456,197705,187474,185983,6224,156560
0.16285,-0.01456,196816,187150,185832,6278,156306
0.17142,-0.01456,195908,186453,185175,6191,155325
0.17999,-0.01456,201566,187714,185501,5147,169170
0.18857,-0.01456,196761,184961,184907,6316,198653
0.19714,-0.01456,195931,184146,184514,6256,198036
0.20571,-0.01456,194661,183368,184396,6318,197003
0.21428,-0.01456,195232,183011,184807,6030,196388
0.22285,-0.01456,196679,182122,184284,6189,195841
0.23142,-0.01456,196485,181567,184111,6136,194937
0.23999,-0.01456,196475,181265,184135,6157,195196
0.24857,-0.01456,201249,181111,190569,5977,193762
0.25714,-0.01456,199842,180836,200387,5847,194999
0.26571,-0.01456,200022,181046,200481,5907,195114
0.27428,-0.01456,200827,181302,200349,5788,195582
0.28285,0.01314,201308,181707,200584,5915,196309
0.29142,0.01314,201939,182254,200435,5961,196275
0.29999,0.01314,202696,183272,200597,5900,197048
0.30857,0.01314,203197,183899,200622,5959,197351
0.31714,0.01314,204192,184581,200819,5888,198264
0.32571,0.01314,204574,185260,201143,5963,198776
0.33428,0.01314,205566,185727,201259,5821,199251
0.34285,0.01314,205775,186109,201637,5934,200045
0.35142,0.01314,206105,186237,201629,5879,199855
0.35999,0.01314,206315,186450,201863,5880,200557
0.36857,0.01314,206069,186244,201915,5916,200193
0.37714,0.01314,206112,186096,202112,5827,200348
0.38571,0.01314,205676,185794,202313,5863,200309
0.39428,0.01314,205841,185509,202243,5798,200622
0.40285,0.01314,205633,185524,202538,5877,200914
0.41142,0.01314,205606,185573,202420,5868,200257
0.41999,0.01314,205590,185770,202473,5855,200312
0.42857,0.01314,205524,185865,202342,5936,199944
0.43714,0.01314,205963,186080,202088,5843,200514
0.44571,0.01314,205860,186113,202159,5929,200539
0.45428,0.01314,206151,186155,201888,5851,200446
0.46285,0.01314,205863,186144,202015,5884,200673
0.47142,0.01314,205772,185906,201759,5856,200153
0.47999,0.01314,205633,185929,201741,5910,200440
0.48857,0.01314,205175,185591,201682,5943,199824
0.49714,0.01314,204993,185400,201538,5890,199950
0.50571,0.01314,204241,185194,201652,5917,199631
0.51428,0.01314,204042,184964,201456,5841,199333
0.52285,0.01314,203465,184792,201583,5897,199544
0.53142,0.01314,203268,184411,201479,5906,198954
0.53999,0.01314,203093,184283,201590,5864,199279
0.54857,0.01314,202729,184053,201580,5960,198743
0.55714,0.01314,202715,183839,201495,5837,198935
0.56571,0.01314,202230,183655,201605,5887,198711
0.57428,0.01314,202231,183616,201421,5865,198539
0.58285,0.01314,201764,183793,201615,5942,198781
0.59142,0.01314,201606,183840,201456,5862,198185
0.59999,0.04085,201709,184232,201474,5816,198977
0.60857,0.04085,201142,184209,201240,6002,199918
0.61714,0.04085,201248,184531,198782,5662,204057
0.62571,0.04085,200887,184192,199809,6058,205846
0.63428,0.04085,200832,184285,199861,6027,205859
0.64285,0.04085,200724,184149,199955,6036,205843
0.65142,0.04085,200547,184014,199968,6017,205775
0.65999,0.04085,200394,183846,200011,6095,205642
0.66857,0.04085,200011,183633,200083,6087,205501
0.67714,0.04085,199648,183486,199994,6089,205445
0.68571,0.04085,199196,183327,200014,6068,205347
0.69428,0.04085,198883,183352,200000,6075,205381
0.70285,0.04085,198556,183393,200024,6112,205404
0.71142,0.04085,198300,183413,199949,6092,205394
0.71999,0.04085,197954,183359,200065,6048,205360
0.72857,0.04085,197522,183163,200050,6125,205280
0.73714,0.04085,197086,182973,200106,6067,205105
0.74571,0.04085,196881,182923,200149,6094,205046
0.75428,0.04085,196931,182957,200167,6042,205033
0.76285,0.01314,197028,183091,200229,6069,205144
0.77142,0.01314,197056,183088,200192,6076,205158
0.77999,0.01314,196967,183108,200197,6082,205162
0.78857,0.01314,196721,183001,200229,6081,205055
0.79714,0.01314,196435,182869,200214,6044,204980
0.80571,0.01314,196149,182659,200201,6112,204865
0.81428,0.01314,195937,182495,200193,6104,204818
0.82285,0.01314,195779,182343,200250,6053,204655
0.83142,0.01314,195754,182289,200212,6056,204681
0.83999,0.01314,195915,182303,200210,6029,204758
0.84857,0.01314,196131,182420,200210,6145,204861
0.85714,0.01314,196537,182632,200162,6084,205049
0.86571,0.01314,197128,182968,200096,6075,205322
0.87428,0.01314,197790,183312,200095,6034,205682
0.88285,0.01314,198448,183673,200136,6133,206042
0.89142,0.01314,198949,184030,200199,6058,206380
0.89999,0.01314,199500,184435,200363,6071,206742
0.90857,0.01314,200029,184797,200469,6094,207087
0.91714,0.01314,200510,185089,200496,6096,207345
